Rank,Release Group,Worldwide,Domestic,%,Foreign,%
78,The Nightmare Before Christmas 2020 Re-release,"$2,342,526","$2,286,000",97.60%,"$56,526",2.40%
79,Relic,"$2,237,347","$1,047,083",46.80%,"$1,190,264",53.20%
80,Made in Italy,"$2,180,161","$101,339",4.60%,"$2,078,822",95.40%
81,The King of Staten Island,"$2,176,478",-,-,"$2,176,478",100%
82,The High Note,"$2,149,814",-,-,"$2,149,814",100%
83,The Outpost,"$2,011,660",-,-,"$2,011,660",100%
84,Jurassic Park 2020 Re-release,"$1,899,492","$1,386,600",73%,"$512,892",27%
85,Greed,"$1,460,431","$355,308",24.30%,"$1,105,123",75.70%
86,Sarileru Neekevvaru,"$1,366,335","$821,000",60.10%,"$545,335",39.90%
87,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.60%,"$1,164,860",85.40%
88,Saint Maud,"$1,340,825",-,-,"$1,340,825",100%
89,2 Hearts,"$1,339,334","$1,339,334",100%,-,-
90,The Assistant,"$1,338,881","$1,100,313",82.20%,"$238,568",17.80%
91,The Goonies 2020 Re-release,"$1,236,438","$825,000",66.70%,"$411,438",33.30%
92,The Perfect Candidate,"$1,231,500",-,-,"$1,231,500",100%
93,Savage,"$1,183,965",-,-,"$1,183,965",100%
94,Kajillionaire,"$1,100,341","$531,430",48.30%,"$568,911",51.70%
95,Misbehaviour,"$1,087,755",-,-,"$1,087,755",100%
96,Chal Mera Putt 2,"$1,070,997","$445,000",41.60%,"$625,997",58.40%
97,Love and Monsters,"$1,060,495","$1,060,495",100%,-,-
98,Hope Gap,"$1,056,908","$104,732",9.90%,"$952,176",90.10%
99,The Tax Collector,"$1,055,718","$942,666",89.30%,"$113,052",10.70%
100,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
101,Color Out of Space,"$1,023,510","$765,561",74.80%,"$257,949",25.20%
102,The Addams Family 2020 Re-release,"$944,341","$678,926",71.90%,"$265,415",28.10%
103,The Vigil,"$935,484",-,-,"$935,484",100%
104,Riverdance 25th Anniversary Show,"$920,607","$81,879",8.90%,"$838,728",91.10%
105,Mafia Inc,"$889,863","$889,863",100%,-,-
106,Cut Throat City,"$864,928","$855,894",99%,"$9,034",1%
107,The Nest,"$820,163","$137,886",16.80%,"$682,277",83.20%
108,Babyteeth,"$817,712","$4,507",0.60%,"$813,205",99.40%
109,Possessor Uncut,"$816,145","$752,885",92.20%,"$63,260",7.80%
110,The Last Shift,"$794,319","$793,658",99.90%,$661,<0.1%
111,Shortcut,"$793,084","$793,084",100%,-,-
112,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
113,Palm Springs,"$741,554","$164,000",22.10%,"$577,554",77.90%
114,Toy Story 2020 Re-release,"$727,218","$727,000",100%,$218,<0.1%
115,"Monsters, Inc. 2020 Re-release","$726,000","$726,000",100%,-,-
116,The Shining 40th Anniversary,"$696,858",-,-,"$696,858",100%
117,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
118,Black Water: Abyss,"$656,976",-,-,"$656,976",100%
119,The Burnt Orange Heresy,"$634,806","$144,201",22.70%,"$490,605",77.30%
120,Mermaid in Paris,"$630,987","$1,988",0.30%,"$628,999",99.70%
121,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.40%,"$15,883",2.60%
122,Synchronic,"$613,405","$613,405",100%,-,-
123,True to the Game 2,"$610,710","$610,710",100%,-,-
124,Alone,"$610,231","$538,277",88.20%,"$71,954",11.80%
125,Stevie Nicks 24 Karat Gold the Concert,"$596,905","$410,265",68.70%,"$186,640",31.30%
126,Seberg,"$585,845","$434,702",74.20%,"$151,143",25.80%
127,Never Too Late,"$564,892",-,-,"$564,892",100%
128,Black Panther 2020 Re-release,"$549,774","$367,000",66.80%,"$182,774",33.20%
129,Followed,"$548,608","$538,179",98.10%,"$10,429",1.90%
130,The Climb,"$546,677","$97,639",17.90%,"$449,038",82.10%
131,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
132,Once Were Brothers: Robbie Robertson and the Band,"$536,534","$449,561",83.80%,"$86,973",16.20%
133,The Call,"$527,421","$515,572",97.80%,"$11,849",2.20%
134,The Big Ugly,"$515,399","$514,107",99.70%,"$1,292",0.30%
135,Spell,"$492,239","$492,239",100%,-,-
136,Summerland,"$486,218","$58,498",12%,"$427,720",88%
137,True History of the Kelly Gang,"$467,198","$33,817",7.20%,"$433,381",92.80%
138,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
139,Burden,"$439,139","$139,270",31.70%,"$299,869",68.30%
140,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
141,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
142,Infamous,"$429,148","$429,148",100%,-,-
143,Guardians of the Galaxy 2020 Re-release,"$428,424","$406,000",94.80%,"$22,424",5.20%
144,Tulsa,"$412,269","$412,269",100%,-,-
145,Back to the Future 2020 Re-release,"$407,977","$247,000",60.50%,"$160,977",39.50%
146,She Dies Tomorrow,"$398,663","$398,663",100%,-,-
147,Fatima,"$368,600",-,-,"$368,600",100%
148,Yellow Rose,"$367,849","$367,849",100%,-,-
149,The Kid Detective,"$364,138","$364,138",100%,-,-
150,Tesla,"$345,229","$93,147",27%,"$252,082",73%
151,Irresistible,"$325,059",-,-,"$325,059",100%
152,Bohemian Rhapsody 2020 Re-release,"$320,550","$240,000",74.90%,"$80,550",25.10%
153,Sputnik,"$307,062","$18,853",6.10%,"$288,209",93.90%
154,Save Yourselves!,"$301,162","$301,162",100%,-,-
155,Gremlins 2020 Re-release,"$295,238","$295,000",99.90%,$238,<0.1%
156,Resistance,"$288,064","$7,464",2.60%,"$280,600",97.40%
157,Come Away,"$285,907","$121,419",42.50%,"$164,488",57.50%
158,The Dark and the Wicked,"$285,289","$110,618",38.80%,"$174,671",61.20%
159,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
160,The Secrets We Keep,"$278,618","$207,928",74.60%,"$70,690",25.40%
161,Swallow,"$274,259","$33,419",12.20%,"$240,840",87.80%
162,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
163,Never Rarely Sometimes Always,"$265,938","$16,565",6.20%,"$249,373",93.80%
164,Archive,"$242,195","$139,593",57.60%,"$102,602",42.40%
165,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
166,The Trip to Greece,"$237,487","$8,340",3.50%,"$229,147",96.50%
167,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
168,Shirley,"$230,441",-,-,"$230,441",100%
